station_id,station_name,lat,lon,capacity,capacity_class,is_charging_station,is_superstation,valet_hours,primary_area_type,context_tags,context_summary,nearest_subway_station,distance_to_subway_m,near_subway,nearest_park_or_recreation,distance_to_park_m,near_park_or_recreation,nearest_tourist_or_event_place,distance_to_tourist_or_event_m,near_tourist_or_event,nearest_major_road,distance_to_major_road_m,near_major_road,is_waterfront,is_downtown_core,is_residential_context,historical_arrivals_per_day,historical_departures_per_day,historical_net_flow_per_day,historical_usage_class,historical_return_risk_class,agent_hint,source,source_notes
7639,135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,16,medium,False,False,,tourist_event,medium|tourist_event|downtown_core|near_park|near_tourist,"Medium tourist event station in the downtown core, near tourist or event venues and near a park or trail.",University / King Southwest corner (on King),1427,False,Canoe Landing Park,255,True,The Ground Floor: Jumblies Theatre,81,True,Bathurst Street,140,False,False,True,False,9.57,9.99,-0.42,medium,low,Tourist or event-area station; demand may spike around weekends and events.,gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7640,Spadina Rd / St. Clair Ave W,43.683979,-79.410657,15,small,False,False,,park_trail,small|park_trail|near_park|near_major_road,Small park trail station near a park or trail and on a major road.,"St. Clair Av West, South Entrance",369,False,Sir Winston Churchill Park,211,True,Spadina Museum,597,False,St. Clair Avenue West,75,True,False,False,True,2.85,3.1,-0.25,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7641,Annette St / Dundas St W,43.6641174,-79.4588522,15,small,False,False,,park_trail,small|park_trail|near_park|near_major_road,Small park trail station near a park or trail and on a major road.,Dundas West,925,False,,73,True,Fly on the Wall Gallery,551,False,Dupont Street,37,True,False,False,True,8.32,8.8,-0.48,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7642,Yonge St / St. Clair Ave,43.68850460000001,-79.39416076812287,19,medium,False,False,,tourist_event,medium|tourist_event|near_subway|near_park|near_tourist|near_major_road,"Medium tourist event station near subway, near tourist or event venues, near a park or trail and on a major road.",St. Clair Centre Entrance on Yonge,8,True,,273,True,Tunnel of Glam,88,True,Yonge Street,31,True,False,False,False,15.29,18.94,-3.65,high,low,Tourist or event-area station; demand may spike around weekends and events.,gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7643,Oriole Pkwy / Kilbarry Rd,43.6954486,-79.4026176,19,medium,False,False,,park_trail,medium|park_trail|near_park|near_major_road,Medium park trail station near a park or trail and on a major road.,Davisville,510,False,Oriole Park,268,True,The Al Green Gallery / Green Family Companies,690,False,Oriole Parkway,20,True,False,False,True,2.48,2.47,0.02,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7644,East Lynn Ave / Danforth Ave,43.6850809,-79.3149901,15,small,False,False,,tourist_event,small|tourist_event|near_subway|near_park|near_tourist|near_major_road,"Small tourist event station near subway, near tourist or event venues, near a park or trail and on a major road.",Woodbine / Strathmore Northwest Corner,214,True,East Lynn Park,103,True,Create Art Studio,313,True,Danforth Avenue,17,True,False,False,False,6.34,6.92,-0.58,medium,low,Tourist or event-area station; demand may spike around weekends and events.,gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7645,University of Toronto Scarborough,43.7842419,-79.1849889,16,medium,False,False,,tourist_event,medium|tourist_event|near_tourist,Medium tourist event station near tourist or event venues.,GO Station Entrance,8456,False,,437,False,The Rock Walk,219,True,Ellesmere Road,333,False,False,False,False,0.76,0.78,-0.02,medium,low,Tourist or event-area station; demand may spike around weekends and events.,gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7646,University Ave / Richmond St W,43.64981903446256,-79.38641270251617,13,small,False,False,,transit_hub,small|transit_hub|downtown_core|near_subway|near_park|near_tourist|near_major_road,"Small transit hub station near subway, in the downtown core, near tourist or event venues, near a park or trail and on a major road.","University / Queen, Southwest Entrance",97,True,,72,True,Campbell House Museum,155,True,University Avenue,26,True,False,True,False,18.59,19.88,-1.29,high,low,"Large capacity helps, but downtown commuter demand can change quickly; check alternatives early.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7650,St. Clair West Subway Station - Heath St. W,43.686352,-79.415894,23,medium,False,False,,park_trail,medium|park_trail|near_subway|near_park,Medium park trail station near subway and near a park or trail.,Heath St Entrance,25,True,Tichester Park,190,True,Spadina Museum,1036,False,St. Clair Avenue West,283,False,False,False,True,3.25,3.1,0.14,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7653,Bloor St W / Indian Rd,43.65537092178271,-79.45717422945427,15,small,False,False,,tourist_event,small|tourist_event|near_subway|near_park|near_tourist|near_major_road,"Small tourist event station near subway, near tourist or event venues, near a park or trail and on a major road.",Indian Grove,105,True,Indian Mound Traffic Island,155,True,Ukrainian Canadian Shevchenko,170,True,Bloor Street West,12,True,False,False,False,0.0,0.32,-0.32,low,low,Tourist or event-area station; demand may spike around weekends and events.,gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
